year_BC,CO2,temperature_anomaly
398000,278,-1.6
388000,255.2,-5.3
378000,245.9,-4.9
368000,229.7,-5.4
358000,206.4,-5.8
348000,193,-7.6
338000,220.4,-7.4
328000,234.2,-4.9
318000,271.8,-0.1
308000,256.3,-3.3
298000,241.9,-3.1
288000,240.2,-6
278000,207.7,-6.2
268000,231.4,-6
258000,184.7,-8.3
248000,203.9,-6.5
238000,230.4,-2.1
228000,245.2,-6.2
218000,212.2,-4.3
208000,244.6,-3.1
198000,242.6,-2.7
188000,231.4,-6.5
178000,213.2,-6.3
168000,197.9,-7
158000,204.4,-6.3
148000,191.9,-7.3
138000,192.3,-9
128000,263.4,1.5
118000,265.2,-0.9
108000,245.7,-5.5
98000,225.9,-3.5
88000,208,-4.7
78000,221.8,-3.7
68000,227.4,-7.8
58000,210.4,-6.5
48000,190.4,-5.2
38000,209.1,-6.9
28000,205.4,-8
18000,189.2,-7.6
8000,261.6,-0.3
400,284.7,0
